#timestamp [ns], temperature [degC], w_RS_S_x [rad s^-1], w_RS_S_y [rad s^-1], w_RS_S_z [rad s^-1], a_RS_S_x [m s^-2], a_RS_S_y [m s^-2], a_RS_S_z [m s^-2]
1891011403288167, 0, 0.0453651, 1.0539098, -0.9141095, 2.7238857, 10.8287814, -7.1420979
1891011413251167, 0, 0.1641245, 0.9155862, -0.8919896, 1.4988332, 10.9039252, -7.5871225
1891011423213167, 0, 0.3081544, 0.5624050, -0.8783776, 0.6503975, 10.4903352, -6.7647327
1891011433175167, 0, 0.5759328, 0.2807923, -0.8324839, -0.2499802, 10.7698041, -5.0165181
1891011443137167, 0, 0.8267863, -0.0813713, -0.7042897, -1.5682887, 10.9467361, -5.1804272
1891011453099167, 0, 0.8476530, -0.5270255, -0.5772346, -2.0793260, 11.0961255, -8.1453117
1891011463062167, 0, 0.7632731, -0.7772060, -0.4995203, -1.6163388, 10.8379124, -8.1884221
1891011473024167, 0, 0.5876886, -0.5855008, -0.4493520, -1.2094849, 10.3156485, -7.4678206
1891011482986167, 0, 0.3806467, -0.3232960, -0.3919396, -1.1671230, 9.9517552, -7.3748639
1891011492948167, 0, 0.1646073, -0.1467109, -0.4067379, -1.3986914, 10.0818347, -7.7680962
1891011502910167, 0, -0.0316948, -0.0758229, -0.4962593, -1.9785855, 10.5750591, -8.0324464
1891011512873167, 0, -0.1815703, -0.0096915, -0.5406752, -3.2543825, 10.6871759, -7.8179425
1891011522835167, 0, -0.3076646, 0.1638020, -0.5427948, -4.6451404, 10.5433250, -7.1389545
1891011532797167, 0, -0.4368788, 0.4136233, -0.5185228, -5.8426501, 10.5985602, -6.3246478
1891011542759167, 0, -0.6338518, 0.5140055, -0.4219020, -7.0855156, 10.5172792, -6.3339285
1891011552721167, 0, -0.8124937, 0.5092062, -0.2440409, -7.8162959, 9.9935184, -6.4774800
1891011562684167, 0, -0.8363607, 0.5907483, -0.0154847, -7.6996884, 9.5052338, -5.3271222
1891011572646167, 0, -0.6710836, 0.6305798, 0.2134710, -6.5773224, 8.9593190, -3.8116736
1891011582608167, 0, -0.3946967, 0.5725429, 0.3578881, -4.4855722, 8.8398674, -2.9554541
1891011592570167, 0, -0.0688595, 0.5082105, 0.3739299, -2.2369482, 8.8991441, -2.1900957
1891011602532167, 0, 0.2278643, 0.4689185, 0.3077474, -0.5725594, 8.3092209, -1.6033159
1891011612495167, 0, 0.4601287, 0.4600704, 0.2603045, 0.1098715, 7.5095837, -1.5688875
1891011622457167, 0, 0.6568894, 0.4491704, 0.2841691, -0.1853146, 6.2752505, -1.4009367
1891011632419167, 0, 0.8048552, 0.4415657, 0.3425598, -0.7262897, 5.0470546, -1.4102174
1891011642381167, 0, 0.8894042, 0.4194452, 0.3786930, -1.0196796, 4.1347018, -1.7920734
1891011652343167, 0, 0.8955063, 0.3459579, 0.3963396, -0.9491762, 3.3241374, -2.2123993
1891011662306167, 0, 0.8264455, 0.2728558, 0.3699453, -0.5114864, 2.9373418, -2.5755441
1891011672268167, 0, 0.7398469, 0.2484119, 0.2906848, -0.0299377, 2.7164012, -2.7934909
1891011682230167, 0, 0.6524894, 0.2401974, 0.2086563, 0.1568738, 2.4797433, -2.8948302
1891011692192167, 0, 0.4930656, 0.3219088, 0.1378189, 0.2201921, 2.2851480, -3.1031969
1891011702154167, 0, 0.2684586, 0.5469664, 0.0707418, -0.0257465, 1.9808308, -3.3495845
1891011712117167, 0, 0.0132215, 0.9370273, -0.0045330, -0.3674858, 1.8121317, -3.4028737
1891011722079167, 0, -0.2245316, 1.2358830, -0.0550731, -0.8183482, 1.8458116, -3.7184175
1891011732041167, 0, -0.4176657, 1.2851702, -0.0534667, -1.1894266, 1.9294876, -4.3393263
1891011742003167, 0, -0.5169529, 1.1454000, -0.0220848, -0.9541159, 1.9396664, -4.4764412
1891011751965167, 0, -0.4988804, 0.8672741, -0.0392422, -0.1206491, 2.3385869, -4.6190945
1891011761927167, 0, -0.3309127, 0.4582086, -0.1725792, 1.0237212, 3.3916470, -4.6973817
1891011771890167, 0, -0.1185714, 0.2053867, -0.3595273, 1.7661772, 4.3920168, -4.4442581
1891011781852167, 0, -0.0757054, 0.1740267, -0.4719191, 1.6757652, 4.6767247, -4.8002179
1891011791814167, 0, -0.2020338, 0.2913980, -0.4135093, 0.5965096, 4.5671526, -5.6100339
1891011801776167, 0, -0.3071376, 0.4075624, -0.2221761, -0.9785152, 4.4607239, -5.6776932
1891011811739167, 0, -0.2900438, 0.2578765, -0.0381421, -1.5061679, 4.6872029, -5.6676640
1891011821701167, 0, -0.1498843, -0.2203931, 0.0046635, -0.5502557, 5.4025653, -6.2545935
1891011831663167, 0, 0.1410160, -0.7491107, -0.0671207, 0.2204915, 7.2193373, -6.8838849
1891011841625167, 0, 0.4527302, -0.9039179, -0.1001314, 0.1986369, 8.3032333, -6.5907944
1891011851587167, 0, 0.5919980, -0.6997099, 0.0433030, -0.9648935, 8.2252455, -6.4192511
1891011861550167, 0, 0.5290636, -0.4049076, 0.2696024, -1.9456540, 8.2316821, -6.9430119
1891011871512167, 0, 0.3210475, -0.1399962, 0.4321509, -1.9769389, 8.9721922, -7.6453514
